node_id,name,omic_type
556,ALOX15B,mRNA
557,ALOX15,mRNA
558,ALOX5AP,mRNA
559,ALOX5,mRNA
560,ALOXE3,mRNA
561,ALPI,mRNA
562,ALPK1,mRNA
563,ALPK2,mRNA
564,ALPK3,mRNA
565,ALPL,mRNA
566,ALPPL2,mRNA
567,ALPP,mRNA
568,ALS2CL,mRNA
569,ALS2CR11,mRNA
570,ALS2CR12,mRNA
571,ALS2CR4,mRNA
572,ALS2CR8,mRNA
573,ALS2,mRNA
574,ALX1,mRNA
575,ALX3,mRNA
576,ALX4,mRNA
577,AMAC1L2,mRNA
578,AMAC1L3,mRNA
579,AMAC1,mRNA
580,AMACR,mRNA
581,AMBN,mRNA
582,AMBP,mRNA
583,AMBRA1,mRNA
584,AMD1,mRNA
585,AMDHD1,mRNA
586,AMDHD2,mRNA
587,AMELX,mRNA
588,AMELY,mRNA
589,AMFR,mRNA
590,AMHR2,mRNA
591,AMH,mRNA
592,AMICA1,mRNA
593,AMIGO1,mRNA
594,AMIGO2,mRNA
595,AMIGO3,mRNA
596,AMMECR1L,mRNA
597,AMMECR1,mRNA
598,AMN1,mRNA
599,AMN,mRNA
600,AMOTL1,mRNA
601,AMOTL2,mRNA
602,AMOT,mRNA
603,AMPD1,mRNA
604,AMPD2,mRNA
605,AMPD3,mRNA
606,AMPH,mRNA
607,AMTN,mRNA
608,AMT,mRNA
609,AMY1A,mRNA
610,AMY2A,mRNA
611,AMY2B,mRNA
612,AMZ1,mRNA
613,AMZ2P1,mRNA
614,AMZ2,mRNA
615,ANAPC10,mRNA
616,ANAPC11,mRNA
617,ANAPC13,mRNA
618,ANAPC16,mRNA
619,ANAPC1,mRNA
620,ANAPC2,mRNA
621,ANAPC4,mRNA
622,ANAPC5,mRNA
623,ANAPC7,mRNA
624,ANGEL1,mRNA
625,ANGEL2,mRNA
626,ANGPT1,mRNA
627,ANGPT2,mRNA
628,ANGPT4,mRNA
629,ANGPTL1,mRNA
630,ANGPTL2,mRNA
631,ANGPTL3,mRNA
632,ANGPTL4,mRNA
633,ANGPTL5,mRNA
634,ANGPTL6,mRNA
635,ANGPTL7,mRNA
636,ANG,mRNA
637,ANK1,mRNA
638,ANK2,mRNA
639,ANK3,mRNA
640,ANKAR,mRNA
641,ANKDD1A,mRNA
642,ANKFN1,mRNA
643,ANKFY1,mRNA
644,ANKHD1-EIF4EBP3,mRNA
645,ANKHD1,mRNA
646,ANKH,mRNA
647,ANKIB1,mRNA
648,ANKK1,mRNA
649,ANKLE1,mRNA
650,ANKLE2,mRNA
651,ANKMY1,mRNA
652,ANKMY2,mRNA
653,ANKRA2,mRNA
654,ANKRD10,mRNA
655,ANKRD11,mRNA
656,ANKRD12,mRNA
657,ANKRD13A,mRNA
658,ANKRD13B,mRNA
659,ANKRD13C,mRNA
660,ANKRD13D,mRNA
661,ANKRD16,mRNA
662,ANKRD17,mRNA
663,ANKRD19,mRNA
664,ANKRD1,mRNA
665,ANKRD20A3,mRNA
666,ANKRD20A4,mRNA
667,ANKRD20B,mRNA
668,ANKRD22,mRNA
669,ANKRD23,mRNA
670,ANKRD24,mRNA
671,ANKRD26P1,mRNA
672,ANKRD26,mRNA
673,ANKRD27,mRNA
674,ANKRD28,mRNA
675,ANKRD29,mRNA
676,ANKRD2,mRNA
677,ANKRD30A,mRNA
678,ANKRD30B,mRNA
679,ANKRD31,mRNA
680,ANKRD32,mRNA
681,ANKRD33,mRNA
682,ANKRD34A,mRNA
683,ANKRD34B,mRNA
684,ANKRD34C,mRNA
685,ANKRD35,mRNA
686,ANKRD36BP1,mRNA
687,ANKRD36B,mRNA
688,ANKRD36,mRNA
689,ANKRD37,mRNA
690,ANKRD39,mRNA
691,ANKRD40,mRNA
692,ANKRD42,mRNA
693,ANKRD43,mRNA
694,ANKRD44,mRNA
695,ANKRD45,mRNA
696,ANKRD46,mRNA
697,ANKRD49,mRNA
698,ANKRD50,mRNA
699,ANKRD52,mRNA
700,ANKRD53,mRNA
701,ANKRD54,mRNA
702,ANKRD55,mRNA
703,ANKRD56,mRNA
704,ANKRD57,mRNA
705,ANKRD58,mRNA
706,ANKRD5,mRNA
707,ANKRD6,mRNA
708,ANKRD7,mRNA
709,ANKRD9,mRNA
710,ANKS1A,mRNA
711,ANKS1B,mRNA
712,ANKS3,mRNA
713,ANKS4B,mRNA
714,ANKS6,mRNA
715,ANKZF1,mRNA
716,ANLN,mRNA
717,ANO10,mRNA
718,ANO1,mRNA
719,ANO2,mRNA
720,ANO3,mRNA
721,ANO4,mRNA
722,ANO5,mRNA
723,ANO6,mRNA
724,ANO7,mRNA
725,ANO8,mRNA
726,ANO9,mRNA
727,ANP32A,mRNA
728,ANP32B,mRNA
729,ANP32C,mRNA
730,ANP32D,mRNA
731,ANP32E,mRNA
732,ANPEP,mRNA
733,ANTXR1,mRNA
734,ANTXR2,mRNA
735,ANTXRL,mRNA
736,ANUBL1,mRNA
737,ANXA10,mRNA
738,ANXA11,mRNA
739,ANXA13,mRNA
740,ANXA1,mRNA
741,ANXA2P1,mRNA
742,ANXA2P2,mRNA
743,ANXA2P3,mRNA
744,ANXA2,mRNA
745,ANXA3,mRNA
746,ANXA4,mRNA
747,ANXA5,mRNA
748,ANXA6,mRNA
749,ANXA7,mRNA
750,ANXA8L1,mRNA
751,ANXA8L2,mRNA
752,ANXA8,mRNA
753,ANXA9,mRNA
754,AOAH,mRNA
755,AOC2,mRNA
756,AOC3,mRNA
757,AOX1,mRNA
758,AOX2P,mRNA
759,AP1AR,mRNA
760,AP1B1,mRNA
761,AP1G1,mRNA
762,AP1G2,mRNA
763,AP1M1,mRNA
764,AP1M2,mRNA
765,AP1S1,mRNA
766,AP1S2,mRNA
767,AP1S3,mRNA
768,AP2A1,mRNA
769,AP2A2,mRNA
770,AP2B1,mRNA
771,AP2M1,mRNA
772,AP2S1,mRNA
773,AP3B1,mRNA
774,AP3B2,mRNA
775,AP3D1,mRNA
776,AP3M1,mRNA
777,AP3M2,mRNA
778,AP3S1,mRNA
779,AP3S2,mRNA
780,AP4B1,mRNA
781,AP4E1,mRNA
782,AP4M1,mRNA
783,AP4S1,mRNA
784,APAF1,mRNA
785,APBA1,mRNA
786,APBA2,mRNA
787,APBA3,mRNA
788,APBB1IP,mRNA
789,APBB1,mRNA
790,APBB2,mRNA
791,APBB3,mRNA
792,APC2,mRNA
793,APCDD1L,mRNA
794,APCDD1,mRNA
795,APCS,mRNA
796,APC,mRNA
797,APEH,mRNA
798,APEX1,mRNA
799,APEX2,mRNA
800,APH1A,mRNA
801,APH1B,mRNA
802,API5,mRNA
803,APIP,mRNA
804,APITD1,mRNA
805,APLF,mRNA
806,APLNR,mRNA
807,APLN,mRNA
808,APLP1,mRNA
809,APLP2,mRNA
810,APOA1BP,mRNA
811,APOA1,mRNA
812,APOA2,mRNA
813,APOA4,mRNA
814,APOA5,mRNA
815,APOB48R,mRNA
816,APOBEC1,mRNA
817,APOBEC2,mRNA
818,APOBEC3A,mRNA
819,APOBEC3B,mRNA
820,APOBEC3C,mRNA
821,APOBEC3D,mRNA
822,APOBEC3F,mRNA
823,APOBEC3G,mRNA
824,APOBEC3H,mRNA
825,APOBEC4,mRNA
826,APOB,mRNA
827,APOC1P1,mRNA
828,APOC1,mRNA
829,APOC2,mRNA
830,APOC3,mRNA
831,APOC4,mRNA
832,APOD,mRNA
833,APOE,mRNA
834,APOF,mRNA
835,APOH,mRNA
836,APOL1,mRNA
837,APOL2,mRNA
838,APOL3,mRNA
839,APOL4,mRNA
840,APOL5,mRNA
841,APOL6,mRNA
842,APOLD1,mRNA
843,APOM,mRNA
844,APOOL,mRNA
845,APOO,mRNA
846,APPBP2,mRNA
847,APPL1,mRNA
848,APPL2,mRNA
849,APP,mRNA
850,APRT,mRNA
851,APTX,mRNA
852,AQP10,mRNA
853,AQP11,mRNA
854,AQP12A,mRNA
855,AQP12B,mRNA
856,AQP1,mRNA
857,AQP2,mRNA
858,AQP3,mRNA
859,AQP4,mRNA
860,AQP5,mRNA
861,AQP6,mRNA
862,AQP7P1,mRNA
863,AQP7P3,mRNA
864,AQP7,mRNA
865,AQP8,mRNA
866,AQP9,mRNA
867,AQPEP,mRNA
868,AQR,mRNA
869,ARAF,mRNA
870,ARAP1,mRNA
871,ARAP2,mRNA
872,ARAP3,mRNA
873,ARCN1,mRNA
874,ARC,mRNA
875,AREG,mRNA
876,ARF1,mRNA
877,ARF3,mRNA
878,ARF4,mRNA
879,ARF5,mRNA
880,ARF6,mRNA
881,ARFGAP1,mRNA
882,ARFGAP2,mRNA
883,ARFGAP3,mRNA
884,ARFGEF1,mRNA
885,ARFGEF2,mRNA
886,ARFIP1,mRNA
887,ARFIP2,mRNA
888,ARFRP1,mRNA
889,ARG1,mRNA
890,ARG2,mRNA
891,ARGFXP2,mRNA
892,ARGFX,mRNA
893,ARGLU1,mRNA
894,ARHGAP10,mRNA
895,ARHGAP11A,mRNA
896,ARHGAP11B,mRNA
897,ARHGAP12,mRNA
898,ARHGAP15,mRNA
899,ARHGAP17,mRNA
900,ARHGAP18,mRNA
901,ARHGAP19,mRNA
902,ARHGAP1,mRNA
903,ARHGAP20,mRNA
904,ARHGAP21,mRNA
905,ARHGAP22,mRNA
906,ARHGAP23,mRNA
907,ARHGAP24,mRNA
908,ARHGAP25,mRNA
909,ARHGAP26,mRNA
910,ARHGAP27,mRNA
911,ARHGAP28,mRNA
912,ARHGAP29,mRNA
913,ARHGAP30,mRNA
