gene,kruskal_stat,p_value,eta_squared,dominant_subtype,is_hub,fdr_bh,sig_fdr5
CUL7,18.0753,0.00042439374102491256,0.0354,Basal,False,0.0006845060339111493,True
RPL12,18.0176,0.00043619113901249693,0.0353,Basal,False,0.0006975236728016264,True
RPL8,18.002,0.00043943991386502463,0.0352,Basal,False,0.0006975236728016264,True
IL10,17.5633,0.0005411383493680882,0.0342,Her2,False,0.0008521863769576192,True
RPS21,16.8967,0.0007421803860198961,0.0326,Basal,False,0.0011596568531560877,True
CALML6,16.7386,0.0007998444637507683,0.0323,LumA,False,0.0012400689360477029,True
RPL7A,16.3393,0.0009660647731627181,0.0313,LumA,False,0.0014862534971734123,True
RPL17,16.2943,0.0009868119200894777,0.0312,Basal,False,0.0015065830841060727,True
RPL14,15.8017,0.001245220432922237,0.0301,Basal,False,0.0018866976256397528,True
RPL23A,15.4614,0.0014619545231649832,0.0293,LumB,False,0.0021884470660781014,True
RPL27A,15.4551,0.0014662595342723281,0.0292,Basal,False,0.0021884470660781014,True
RPL29,14.898,0.0019059335377213428,0.0279,LumA,False,0.002823605241068656,True
MRPS14,14.7933,0.002002087315824337,0.0277,LumB,False,0.002944246052682848,True
HDAC1,14.7607,0.00203299268021068,0.0276,Basal,False,0.002967872525855007,True
RPS11,14.6949,0.0020968681833566055,0.0275,Basal,False,0.003038939396168994,True
CDC42,14.4657,0.002335133674546611,0.0269,Her2,False,0.0033599045676929655,True
PRKACB,14.2083,0.0026349143699698485,0.0263,Her2,False,0.0037641633856712125,True
MRPL22,13.9717,0.002943972222715012,0.0258,LumB,False,0.004171091007719585,True
KRAS,13.959,0.002961474615480906,0.0257,LumB,False,0.004171091007719585,True
IMP3,13.8905,0.0030581017924093358,0.0256,LumA,False,0.004277065443929141,True
ITGB1,13.5509,0.003584774156239918,0.0248,Basal,False,0.004978852994777664,True
RPL35,13.4602,0.0037401059171446615,0.0246,Basal,False,0.005158766782268499,True
CALML4,13.3358,0.0039639815814666085,0.0243,Basal,False,0.00543011175543371,True
RPL28,13.2071,0.004209434811558896,0.024,Basal,False,0.005727122192597138,True
SNRPD2,13.1607,0.004301715362539176,0.0239,Basal,False,0.005813128868296184,True
RPL21,13.1462,0.0043308183488864746,0.0238,Basal,False,0.005813178991793925,True
UBC,12.9049,0.004846817253961634,0.0233,Her2,True,0.0064624230052821785,True
MRPS2,12.4129,0.006094755462672038,0.0221,Basal,False,0.008072523791618593,True
FAU,12.2184,0.006671119844333726,0.0216,Basal,False,0.008777789268860166,True
PIK3CA,12.0133,0.007337675408063169,0.0212,Basal,False,0.009591732559559698,True
GNG2,11.799,0.008104370667067044,0.0207,LumA,False,0.01052515671047668,True
MRPL24,11.6741,0.008586987869599034,0.0204,LumB,False,0.011079984347869722,True
UBA52,11.1067,0.011162454907908199,0.019,Basal,False,0.014310839625523332,True
RPS17,10.9807,0.011830820118730366,0.0187,Basal,False,0.01507110843150365,True
RPL15,10.9324,0.012097066991462822,0.0186,LumA,False,0.015304826205966095,True
IL1B,10.9198,0.012167336833743046,0.0186,Basal,False,0.015304826205966095,True
RPL37A,10.7587,0.01310481496558196,0.0182,Basal,False,0.01638101870697745,True
FN1,9.9106,0.01934185063484399,0.0162,Her2,False,0.024027143645768932,True
RPL10,9.5787,0.022509136745402985,0.0154,LumA,True,0.027789057710374054,True
RSL24D1,9.549,0.022815606455785124,0.0154,LumA,False,0.027994609148202607,True
NHP2,9.0351,0.028828159957765206,0.0142,Basal,False,0.035156292631420984,True
RPS5,8.9122,0.03048184219465079,0.0139,LumA,False,0.03694768750866763,True
PRKACG,8.2899,0.040384908128674506,0.0124,Her2,False,0.04865651581768013,True
RHOA,8.1634,0.042753114358537674,0.0121,Her2,False,0.05120133456112296,False
RPS24,7.4299,0.05938603270335678,0.0104,Basal,False,0.07069765798018665,False
RPS3A,7.3892,0.06047491538204152,0.0103,LumA,False,0.07156794719768228,False
CD4,7.2211,0.06517382610298199,0.0099,Basal,False,0.07667508953291999,False
EP300,6.5443,0.08793210183375748,0.0083,LumB,False,0.10284456354825436,False
CD8A,6.5107,0.08924194620687864,0.0082,Basal,False,0.10376970489171936,False
RPS2,6.178,0.10326253201286033,0.0075,Basal,False,0.11937864972585009,False
TRAF6,6.0286,0.11022819215259008,0.0071,LumA,False,0.12669907143975873,False
MRPS11,5.7947,0.12203752758629996,0.0066,Her2,False,0.1394714600986285,False
UBB,5.5665,0.13471238071028083,0.006,Her2,False,0.1530822508071373,False
RPL19,5.2629,0.15352980509923933,0.0053,Her2,False,0.17348000576185235,False
TLR4,5.0407,0.16884198196034528,0.0048,Her2,False,0.1897100920902756,False
RPS27,5.0215,0.17023174049689271,0.0047,Basal,False,0.19020306200770135,False
RPL27,4.9952,0.1721459959846802,0.0047,Basal,False,0.19127332887186688,False
RPL23,4.9692,0.1740638776530517,0.0046,Her2,False,0.1923357764122118,False
JAK2,4.5134,0.21110048867561362,0.0036,LumA,False,0.23197855898419079,False
RPS15A,3.96,0.2658153580619259,0.0023,Basal,False,0.2895311177776813,False
CD74,3.955,0.2663686283554668,0.0022,LumA,False,0.2895311177776813,False
RPS13,3.7516,0.2895698747788167,0.0018,Basal,False,0.3130485132743964,False
RPL9,3.2797,0.350481012999956,0.0007,Basal,False,0.37686130430102793,False
INS,3.0405,0.38541830599833243,0.0001,LumB,False,0.4122120919768261,False
MAPK8,2.5911,0.459043830411889,-0.001,Basal,False,0.48834450043817984,False
TUFM,2.3156,0.5095457994736756,-0.0016,Basal,False,0.5386549992353352,False
RPL6,2.3042,0.5117222492735685,-0.0016,Her2,False,0.5386549992353352,False
RPS26,2.2528,0.5216239558001916,-0.0018,Her2,False,0.5462030950787347,False
RPS29,2.162,0.5394677647397021,-0.002,Basal,False,0.5619455882705231,False
PRKACA,1.9717,0.5783096295467218,-0.0024,LumA,False,0.5992845902038568,False
CALM3,1.7252,0.6313378914239223,-0.003,Basal,False,0.6508638055916725,False
RPS28,1.5461,0.6716809529687715,-0.0034,Her2,False,0.6889035415064323,False
TP53,1.4197,0.7009227176350228,-0.0037,LumA,False,0.7148099815179767,False
RPLP0,1.4062,0.7040878317952071,-0.0037,Basal,False,0.7148099815179767,False
RPL3L,1.1104,0.7745599759988456,-0.0044,Basal,False,0.7823838141402482,False
GNB1,0.6892,0.8757387530443926,-0.0054,Basal,False,0.880139450295872,False
IL2,0.575,0.902135782223911,-0.0057,LumA,False,0.902135782223911,False
